Time_Step,Simulated_MSD,Theoretical_MSD
435,888.8597274266615,870.0
436,893.6828624783791,872.0
437,897.6699630615251,874.0
438,894.3983911469332,876.0
439,901.5486553314166,878.0
440,903.5432666720933,880.0
441,905.7702973397478,882.0
442,909.7227269546161,884.0
443,909.3127575320361,886.0
444,913.2714833808657,888.0
445,912.9600217612758,890.0
446,914.7051596361126,892.0
447,918.6141515734993,894.0
448,922.7953239863843,896.0
449,922.004229388715,898.0
450,924.8409682797729,900.0
451,926.674046497314,902.0
452,930.5808863057852,904.0
453,936.0635762898775,906.0
454,940.2087082835368,908.0
455,938.3902362640957,910.0
456,937.8499638909417,912.0
457,942.458639038535,914.0
458,946.3873559752493,916.0
459,953.5199595189994,918.0
460,948.4463295016309,920.0
461,954.5589316034491,922.0
462,958.3126762065727,924.0
463,956.5668802689476,926.0
464,957.5092866645006,928.0
465,958.2832074067403,930.0
466,954.5115064675675,932.0
467,958.0158547253523,934.0
468,962.0205767230003,936.0
469,964.0581854572467,938.0
470,963.4325808218188,940.0
471,964.3420023290001,942.0
472,968.7236137313674,944.0
473,975.2982209186443,946.0
474,976.8082550597727,948.0
475,979.3859654968775,950.0
476,979.5611451862454,952.0
477,981.8627792162464,954.0
478,982.3168534812215,956.0
479,987.0687394513482,958.0
480,980.583889144181,960.0
481,983.7846417429553,962.0
482,984.2211132391704,964.0
483,984.4270817425258,966.0
484,983.3220280601306,968.0
485,984.1941097804811,970.0
486,985.0102112663437,972.0
487,987.3635514440418,974.0
488,989.4971384725982,976.0
489,987.7169844845247,978.0
490,990.7248123553795,980.0
491,993.1256707159808,982.0
492,998.6670845425558,984.0
493,1002.4760448207516,986.0
494,1004.5808981409958,988.0
495,1012.6685441009804,990.0
496,1015.1206194949534,992.0
497,1008.0472648563026,994.0
498,1003.2513126237558,996.0
499,1006.2964252578693,998.0
500,1004.8618446564534,1000.0
501,1007.7830232649624,1002.0
502,1008.103989866381,1004.0
503,1008.5281783095066,1006.0
504,1006.998634197096,1008.0
505,1012.3408681244438,1010.0
506,1013.1992731123247,1012.0
507,1014.2939589310299,1014.0
508,1018.8533672893612,1016.0
509,1016.2043964677955,1018.0
510,1013.2636970834272,1020.0
511,1018.342185489673,1022.0
512,1020.9605621076619,1024.0
513,1013.1993649999014,1026.0
514,1016.638883454274,1028.0
515,1022.844426053506,1030.0
516,1024.9136330164667,1032.0
517,1027.3683546839752,1034.0
518,1031.716321336938,1036.0
519,1036.4994163546478,1038.0
520,1037.970862741814,1040.0
521,1040.6515750145754,1042.0
522,1041.5836226546537,1044.0
523,1048.3757009543156,1046.0
524,1048.7387231503435,1048.0
525,1051.7419695319636,1050.0
526,1050.835573870914,1052.0
527,1055.064443293403,1054.0
528,1056.5855263677743,1056.0
529,1057.3460111385991,1058.0
530,1059.0238295053841,1060.0
531,1064.8846208622747,1062.0
532,1065.96599659511,1064.0
533,1071.6265713004293,1066.0
534,1069.8194474964193,1068.0
535,1074.0478464374164,1070.0
536,1076.6720468501553,1072.0
537,1075.9967731161612,1074.0
538,1084.2686211932037,1076.0
539,1094.7398119433205,1078.0
540,1091.4991787396107,1080.0
541,1096.1943611952515,1082.0
542,1098.601104280915,1084.0
543,1098.8923894532938,1086.0
544,1101.4436136759937,1088.0
545,1104.6993857144082,1090.0
546,1112.1102012508657,1092.0
547,1112.7355263666047,1094.0
548,1114.0625135164084,1096.0
549,1116.900380221693,1098.0
550,1117.8043223110524,1100.0
