Time,water (gamma=0.1),cytoplasm (gamma=0.5),Dense fluid (gamma=2.0)
5.895895895895896,0.7290768641591769,0.22421378299249559,0.0026930599180961107
5.905905905905906,0.7331446090212432,0.22501381156232753,0.002682454827321148
5.915915915915916,0.7364739163317706,0.2255835581405504,0.0026691329969839076
5.925925925925926,0.7390621900357953,0.22592359943769516,0.002653162811469213
5.935935935935936,0.7409075789456386,0.22603474029094606,0.002634614189453346
5.945945945945946,0.7420089778499427,0.22591801171582387,0.002613558477201633
5.955955955955956,0.7423660278743769,0.22557466874013737,0.0025900683424232803
5.965965965965966,0.7419791160944005,0.22500618802346767,0.0025642176687882177
5.975975975975976,0.7408493744012181,0.22421426526565127,0.002536081451207932
5.985985985985986,0.7389786776228122,0.22320081240792014,0.002505735691979412
5.995995995995996,0.7363696409026789,0.22196795463054997,0.0024732572978884123
6.006006006006006,0.7330256163396351,0.22051802715105057,0.002438723978365308
6.016016016016016,0.7289506888928038,0.21885357182711557,0.002402214144783794
6.026026026026026,0.7241496715566123,0.21697733356872104,0.002363806810989656
6.036036036036036,0.7186280998113689,0.2148922565639352,0.0023235814951437757
6.046046046046046,0.7123922253557003,0.2126014803231645,0.002281618122960425
6.056056056056056,0.7054490091278443,0.2101083355467192,0.0022379969324187515
6.066066066066066,0.6978061136235064,0.20741633982074006,0.00219279838002228
6.076076076076076,0.6894718945186706,0.20452919314666704,0.002146103048677964
6.086086086086086,0.6804553916064556,0.2014507733095801,0.0020979915572632616
6.096096096096096,0.6707663190577815,0.1981851310908728,0.002048544471946416
6.106106106106106,0.6604150550162756,0.19473648533085097,0.00199784221932197
6.116116116116116,0.6494126305385105,0.19110921784697113,0.001945965001420314
6.126126126126126,0.6377707178913034,0.18730786821354922,0.0018929927126468521
6.136136136136136,0.6255016182184447,0.183337128408882,0.001839004858703182
6.146146146146146,0.6126182485898398,0.17920183733582526,0.0017840804775394589
6.156156156156156,0.5991341284466545,0.1749069752219724,0.0017282980623839492
6.166166166166166,0.5850633654566452,0.17045765790566433,0.0016717354868925752
6.176176176176176,0.5704206407944343,0.16585913101414848,0.001614469932458114
6.186186186186186,0.5552211938620473,0.16111676404027933,0.0015565778177155515
6.196196196196196,0.5394808064655794,0.15623604432422414,0.0014981347302769888
6.206206206206206,0.5232157864643842,0.1512225709467004,0.0014392153607263895
6.216216216216216,0.5064429509096897,0.14608204854032836,0.001379893438901403
6.226226226226226,0.4891796086900462,0.14082028102573077,0.0013202416724864556
6.236236236236236,0.4714435427014678,0.13544316527905284,0.0012603316879382812
6.246246246246246,0.4532529915606355,0.12995668473762048,0.0012002339737621807
6.256256256256256,0.43462663087989506,0.12436690295046565,0.0011400178261542274
6.266266266266266,0.4155835541232744,0.11867995708048784,0.0010797512970218903
6.276276276276276,0.39614325306310394,0.11290205136502532,0.0010195011443926403
6.286286286286286,0.3763255978572165,0.10703945054161969,0.0009593327852173045
6.296296296296296,0.3561508167670646,0.10109847324576016,0.0008993102505722168
6.306306306306306,0.335639475537427,0.09508548538738583,0.0008394961432614867
